id	title	description	price	condition	link	availability	image_link	brand	gtin	mpn	google_product_category	product_type	shipping_weight	shipping_length	shipping_width	shipping_height	item_group_id	additional_image_link	age_group	gender	material	pattern	color	size	item_condition	energy_efficiency_class	multipack	adult	shipping_label	shipping_cost	shipping_country	shipping_region	shipping_service	shipping_time	shipping_zip	shipping_city	shipping_state	shipping_address	shipping_phone	shipping_contact	shipping_notes	shipping_instructions	shipping_restrictions	shipping_handling_time	shipping_delivery_time	shipping_carrier	shipping_method	shipping_priority	shipping_insurance	shipping_signature	shipping_tracking	shipping_notification	shipping_confirmation	shipping_receipt	shipping_invoice	shipping_packing_slip	shipping_label_url	shipping_tracking_url	shipping_delivery_confirmation	shipping_proof_of_delivery	shipping_return_address	shipping_return_phone	shipping_return_contact	shipping_return_notes	shipping_return_instructions	shipping_return_restrictions	shipping_return_handling_time	shipping_return_delivery_time	shipping_return_carrier	shipping_return_method	shipping_return_priority	shipping_return_insurance	shipping_return_signature	shipping_return_tracking	shipping_return_notification	shipping_return_confirmation	shipping_return_receipt	shipping_return_invoice	shipping_return_packing_slip	shipping_return_label_url	shipping_return_tracking_url	shipping_return_delivery_confirmation	shipping_return_proof_of_delivery
vinyl-13oz	13oz Vinyl Banner	Our most popular banner - perfect for outdoor use with weather resistance and vibrant colors	1.60	new	https://buyprintz.com/product/vinyl-13oz	in_stock	https://buyprintz.com/assets/images/13oz Vinyl Banner.jpg	BuyPrintz		BP-VB-13OZ	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.5	36	24	0.125	vinyl-banners		adult	unisex	13oz Scrim Vinyl		White	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
vinyl-18oz	18oz Blocked Banner	18 oz matte blockout banner - Full color UV printed, indoor and outdoor ready	2.50	new	https://buyprintz.com/product/vinyl-18oz	in_stock	https://buyprintz.com/assets/images/blockout Banner -BuyPrintz.jpg	BuyPrintz		BP-VB-18OZ	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.6	36	24	0.15	vinyl-banners		adult	unisex	18oz Matte Blockout Vinyl		White	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
mesh-banner	Mesh Banner	Best seller for windy conditions with 70% air flow for reduced wind load	1.80	new	https://buyprintz.com/product/mesh-banner	in_stock	https://buyprintz.com/assets/images/Mesh Banner - BuyPrintz.jpg	BuyPrintz		BP-MB-001	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.4	36	24	0.1	vinyl-banners		adult	unisex	Mesh Vinyl		White	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
indoor-banner	Indoor Banner	Full and smooth surface vinyl - great for indoor displays and presentations	2.50	new	https://buyprintz.com/product/indoor-banner	in_stock	https://buyprintz.com/assets/images/Indoor Banner - BuyPrintz.jpg	BuyPrintz		BP-IB-001	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.3	36	24	0.08	vinyl-banners		adult	unisex	Smooth Vinyl		White	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
pole-banner	Pole Banner	Durable fit banners ready to install with complete hardware kit included	3.00	new	https://buyprintz.com/product/pole-banner	in_stock	https://buyprintz.com/assets/images/Pole Banner - BuyPrintz.jpg	BuyPrintz		BP-PB-001	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	1.2	48	36	0.25	specialty-banners		adult	unisex	18oz Vinyl		White	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
fabric-9oz	9oz Fabric Banner	Lightweight fabric banner with vibrant dye sublimation printing for premium presentations	2.75	new	https://buyprintz.com/product/fabric-9oz	in_stock	https://buyprintz.com/assets/images/9oz Fabric Banner - BuyPrintz.jpg	BuyPrintz		BP-FB-9OZ	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.2	36	24	0.05	fabric-banners		adult	unisex	9oz Polyester Fabric		White	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
fabric-blockout	Fabric Banner (9.5oz Blockout)	Premium blockout fabric with superior color blocking and professional finish	7.00	new	https://buyprintz.com/product/fabric-blockout	in_stock	https://buyprintz.com/assets/images/Fabric Banner (9.5oz. Blockout) - BuyPrintz.jpg	BuyPrintz		BP-FB-95OZ	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.3	36	24	0.08	fabric-banners		adult	unisex	9.5oz Blockout Fabric		White	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
tension-fabric	Tension Fabric	3-way stretch material perfect for kiosks, displays, and modern installations	5.15	new	https://buyprintz.com/product/tension-fabric	in_stock	https://buyprintz.com/assets/images/Tension Fabric - Buy Printz.jpg	BuyPrintz		BP-TF-001	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.15	36	24	0.03	fabric-banners		adult	unisex	Stretch Polyester		White	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
backlit-banner	Backlit Banner	18oz translucent vinyl for illuminated signage with even light distribution	7.00	new	https://buyprintz.com/product/backlit-banner	in_stock	https://buyprintz.com/assets/images/Backlit Banner -BuyPrintz.jpg	BuyPrintz		BP-BB-001	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.4	36	24	0.1	specialty-banners		adult	unisex	Translucent Vinyl		White	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
tin-silver	Business Card Tins - Silver	Premium silver aluminum business card tins with custom vinyl stickers - perfect for professional networking (100 unit minimum)	399.99	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/silvertin-buyprintz.jpg	BuyPrintz		BP-TIN-SILVER	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	2.5	4	3	1	business-card-tins		adult	unisex	Premium Silver Aluminum		Silver	Custom	New		No	No		Free shipping on orders over $100	US		Standard	2-3 business days		Boston	MA		+1-617-555-0123				None	1-2 business days	2-3 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/tracking	Yes	Yes		+1-617-555-0123		Return within 30 days	Contact customer service	None	1-2 business days	3-5 business days	UPS	Ground	Standard	No	No	Yes	Yes	Yes	Yes	Yes	Yes		https://buyprintz.com/return-tracking	Yes	Yes
