id	title	description	price	condition	link	availability	image_link	brand	gtin	mpn	google_product_category	product_type	shipping_weight	shipping_length	shipping_width	shipping_height	item_group_id	additional_image_link	age_group	gender	material	pattern	color	size
vinyl-13oz	13oz Vinyl Banner	Our most popular banner - perfect for outdoor use with weather resistance and vibrant colors. Priced per square foot starting at $1.60/sqft. Contact us at order@buyprintz.com or 617-505-0603 for custom orders.	1.60	new	https://buyprintz.com/product/vinyl-13oz	in_stock	https://buyprintz.com/assets/images/13oz Vinyl Banner.jpg	BuyPrintz		BP-VB-13OZ	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.5	36	24	0.125	vinyl-banners		adult	unisex	13oz Scrim Vinyl		White	Custom
vinyl-18oz	18oz Blocked Banner	18 oz matte blockout banner - Full color UV printed, indoor and outdoor ready. Priced per square foot starting at $2.50/sqft. Contact us at order@buyprintz.com or 617-505-0603 for custom orders.	2.50	new	https://buyprintz.com/product/vinyl-18oz	in_stock	https://buyprintz.com/assets/images/blockout Banner -BuyPrintz.jpg	BuyPrintz		BP-VB-18OZ	Home & Garden > Home Improvement > Hardware > Building Materials > Lumber & Composites > Lumber > Plywood & Engineered Wood > Plywood	Banner	0.6	36	24	0.15	vinyl-banners		adult	unisex	18oz Matte Blockout Vinyl		White	Custom
tin-silver-100	Business Card Tins - Silver (100 units)	Premium silver aluminum business card tins with custom vinyl stickers - perfect for professional networking. 100 unit minimum order. Contact us at order@buyprintz.com or 617-505-0603.	399.99	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/silvertin-buyprintz.jpg	BuyPrintz		BP-TIN-SILVER-100	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	2.5	4	3	1	business-card-tins		adult	unisex	Premium Silver Aluminum		Silver	Custom
tin-silver-250	Business Card Tins - Silver (250 units)	Premium silver aluminum business card tins with custom vinyl stickers - perfect for professional networking. 250 unit order. Contact us at order@buyprintz.com or 617-505-0603.	749.99	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/silvertin-buyprintz.jpg	BuyPrintz		BP-TIN-SILVER-250	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	6.25	4	3	2.5	business-card-tins		adult	unisex	Premium Silver Aluminum		Silver	Custom
tin-silver-500	Business Card Tins - Silver (500 units)	Premium silver aluminum business card tins with custom vinyl stickers - perfect for professional networking. 500 unit order. Contact us at order@buyprintz.com or 617-505-0603.	1000.00	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/silvertin-buyprintz.jpg	BuyPrintz		BP-TIN-SILVER-500	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	12.5	4	3	5	business-card-tins		adult	unisex	Premium Silver Aluminum		Silver	Custom
tin-black-100	Business Card Tins - Black (100 units)	Sleek black aluminum business card tins with custom vinyl stickers - modern and sophisticated. 100 unit minimum order. Contact us at order@buyprintz.com or 617-505-0603.	425.00	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/black tins-buyprintz.jpg	BuyPrintz		BP-TIN-BLACK-100	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	2.5	4	3	1	business-card-tins		adult	unisex	Premium Black Aluminum		Black	Custom
tin-black-250	Business Card Tins - Black (250 units)	Sleek black aluminum business card tins with custom vinyl stickers - modern and sophisticated. 250 unit order. Contact us at order@buyprintz.com or 617-505-0603.	775.00	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/black tins-buyprintz.jpg	BuyPrintz		BP-TIN-BLACK-250	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	6.25	4	3	2.5	business-card-tins		adult	unisex	Premium Black Aluminum		Black	Custom
tin-black-500	Business Card Tins - Black (500 units)	Sleek black aluminum business card tins with custom vinyl stickers - modern and sophisticated. 500 unit order. Contact us at order@buyprintz.com or 617-505-0603.	1025.00	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/black tins-buyprintz.jpg	BuyPrintz		BP-TIN-BLACK-500	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	12.5	4	3	5	business-card-tins		adult	unisex	Premium Black Aluminum		Black	Custom
tin-gold-100	Business Card Tins - Gold (100 units)	Luxurious gold aluminum business card tins with custom vinyl stickers - premium and elegant. 100 unit minimum order. Contact us at order@buyprintz.com or 617-505-0603.	450.00	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/gold tins-buyprintz.jpg	BuyPrintz		BP-TIN-GOLD-100	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	2.5	4	3	1	business-card-tins		adult	unisex	Premium Gold Aluminum		Gold	Custom
tin-gold-250	Business Card Tins - Gold (250 units)	Luxurious gold aluminum business card tins with custom vinyl stickers - premium and elegant. 250 unit order. Contact us at order@buyprintz.com or 617-505-0603.	800.00	new	https://buyprintz.com/business-card-tins	in_stock	https://buyprintz.com/assets/images/gold tins-buyprintz.jpg	BuyPrintz		BP-TIN-GOLD-250	Office Products > Office Supplies > Paper Products > Business Cards	Business Card Tins	6.25	4	3	2.5	business-card-tins		adult	unisex	Premium Gold Aluminum		Gold	Custom
